Date,Home Team,Away Team,Home Score,Away Score,Play-off Game?,Home Odds,Draw Odds,Away Odds,Bookmakers Surveyed
2020-02-21 00:00:00,Crusaders,Highlanders,0,0,,1.12,28.51,6.33,11
2020-02-22 00:00:00,Rebels,Sharks,0,0,,2.77,21.98,1.46,11
2020-02-22 00:00:00,Chiefs,Brumbies,0,0,,1.10,28.42,6.56,11
2020-02-22 00:00:00,Reds,Sunwolves,0,0,,1.13,29.07,5.60,11
2020-02-22 00:00:00,Stormers,Jaguares,0,0,,1.34,22.07,3.25,10
2020-02-22 00:00:00,Bulls,Blues,0,0,,2.09,21.08,1.77,10
2020-02-14,Blues,Crusaders,8,25,,3.47,24.74,1.31,11
2020-02-14,Rebels,Waratahs,24,10,,1.61,20.81,2.35,11
2020-02-15,Sunwolves,Chiefs,17,43,,9.49,40.78,1.05,11
2020-02-15,Hurricanes,Sharks,38,22,,1.31,24.35,3.41,11
2020-02-15,Brumbies,Highlanders,22,23,,1.44,22.14,2.78,11
2020-02-15,Lions,Stormers,30,33,,2.62,22.26,1.5,11
2020-02-15,Jaguares,Reds,43,27,,1.17,30.03,4.88,10
2020-07-02,Highlanders,Sharks,20,42,,1.39,22.61,3.01,11
2020-07-02,Brumbies,Rebels,39,26,,1.38,23.09,3.08,11
2020-08-02,Chiefs,Crusaders,25,15,,1.98,22.72,1.83,10
2020-08-02,Waratahs,Blues,12,32,,1.98,20.86,1.85,11
2020-08-02,Lions,Reds,27,20,,1.53,23.66,2.5,10
2020-08-02,Stormers,Bulls,13,0,,1.27,25.8,3.74,10
2020-08-02,Jaguares,Hurricanes,23,26,,1.47,21.88,2.75,10
2020-01-02,Jaguares,Lions,38,8,,1.24,25.47,4.08,10
2020-01-02,Stormers,Hurricanes,27,0,,1.74,21.37,2.14,10
2020-01-02,Crusaders,Waratahs,43,25,,1.08,35.6,7.45,10
2020-01-02,Sunwolves,Rebels,36,27,,6.6,34.41,1.1,10
2020-01-31,Sharks,Bulls,23,15,,1.52,20.82,2.57,10
2020-01-31,Brumbies,Reds,27,24,,1.38,23.08,3.07,10
2020-01-31,Blues,Chiefs,29,37,,2.29,22.19,1.64,10
2019-06-07,Crusaders,Jaguares,19,3,Y,1.14,28.05,5.8,9
2019-06-28,Jaguares,Brumbies,39,7,Y,1.2,26.71,4.66,10
2019-06-28,Crusaders,Hurricanes,30,26,Y,1.46,21.93,2.8,10
2019-06-21,Crusaders,Highlanders,38,14,Y,1.14,30.28,5.53,10
2019-06-21,Jaguares,Chiefs,21,16,Y,1.18,28.13,4.81,10
2019-06-21,Hurricanes,Bulls,35,28,Y,1.67,22.2,2.23,10
2019-06-21,Brumbies,Sharks,38,13,Y,1.39,22.63,3.03,10
2019-06-14,Highlanders,Waratahs,49,12,,1.1,35.62,6.87,10
2019-06-14,Rebels,Chiefs,8,59,,2.06,21.81,1.78,10
2019-06-14,Jaguares,Sunwolves,52,10,,1.05,44.04,9.21,10
2019-06-14,Hurricanes,Blues,29,24,,2.0,20.67,1.83,10
2019-06-14,Brumbies,Reds,40,27,,1.29,23.7,3.62,10
2019-06-14,Stormers,Sharks,9,12,,1.72,20.75,2.16,10
2019-06-14,Bulls,Lions,48,27,,1.51,22.14,2.59,10
2019-07-06,Highlanders,Bulls,24,24,,1.26,25.59,3.89,10
2019-07-06,Reds,Blues,29,28,,2.09,21.96,1.75,10
2019-07-06,Crusaders,Rebels,66,0,,1.07,36.49,7.9,10
2019-07-06,Waratahs,Brumbies,24,35,,1.8,21.21,2.04,10
2019-07-06,Lions,Hurricanes,17,37,,2.29,22.44,1.64,10
2019-07-06,Stormers,Sunwolves,31,18,,1.04,46.41,11.14,10
2019-07-06,Jaguares,Sharks,34,7,,1.4,23.02,3.02,10
2019-05-31,Blues,Bulls,22,22,,1.29,24.01,3.68,10
2019-05-31,Rebels,Waratahs,15,20,,1.39,22.93,3.05,10
2019-05-31,Sunwolves,Brumbies,19,42,,5.21,28.12,1.16,10
2019-05-31,Chiefs,Crusaders,40,27,,4.92,29.16,1.18,10
2019-05-31,Reds,Jaguares,23,34,,2.39,20.98,1.61,10
2019-05-31,Sharks,Hurricanes,17,30,,2.23,20.67,1.69,10
2019-05-31,Lions,Stormers,41,22,,1.57,21.16,2.49,10
2019-05-24,Chiefs,Reds,19,13,,1.22,27.05,4.28,10
2019-05-24,Brumbies,Bulls,22,10,,1.4,22.65,2.98,10
2019-05-24,Sunwolves,Rebels,7,52,,2.94,23.72,1.41,10
2019-05-24,Crusaders,Blues,19,11,,1.16,27.85,5.28,10
2019-05-24,Waratahs,Jaguares,15,23,,1.63,22.3,2.32,10
2019-05-24,Stormers,Highlanders,34,22,,1.7,21.13,2.19,10
2019-05-24,Sharks,Lions,27,17,,1.49,22.05,2.67,10
2019-05-17,Hurricanes,Jaguares,20,28,,1.21,28.27,4.4,10
2019-05-17,Rebels,Bulls,17,32,,1.39,23.23,3.03,10
2019-05-17,Blues,Chiefs,23,8,,1.47,21.64,2.73,10
2019-05-17,Reds,Waratahs,32,40,,1.96,19.99,1.87,10
2019-05-17,Lions,Highlanders,38,29,,1.87,20.02,1.97,10
2019-05-17,Stormers,Crusaders,19,19,,4.62,27.98,1.19,10
2019-10-05,Blues,Hurricanes,12,22,,2.87,22.18,1.43,10
2019-10-05,Rebels,Reds,30,24,,1.26,23.76,3.91,10
