Date;Home Team;Away Team;Home Score;Away Score;Play-off Game?;Home Odds;Draw Odds;Away Odds;Bookmakers Surveyed
07-Feb-20;Highlanders;Sharks;0;0;;1.39;22.61;3.01;11
07-Feb-20;Brumbies;Rebels;0;0;;1.38;23.09;3.08;11
08-Feb-20;Chiefs;Crusaders;0;0;;1.98;22.72;1.83;10
08-Feb-20;Waratahs;Blues;0;0;;1.98;20.86;1.85;11
08-Feb-20;Lions;Reds;0;0;;1.53;23.66;2.50;10
08-Feb-20;Stormers;Bulls;0;0;;1.27;25.80;3.74;10
08-Feb-20;Jaguares;Hurricanes;0;0;;1.47;21.88;2.75;10
01-Feb-20;Jaguares;Lions;38;8;;1.24;25.47;4.08;10
01-Feb-20;Stormers;Hurricanes;27;0;;1.74;21.37;2.14;10
01-Feb-20;Crusaders;Waratahs;43;25;;1.08;35.6;7.45;10
01-Feb-20;Sunwolves;Rebels;36;27;;6.6;34.41;1.1;10
31-Jan-20;Sharks;Bulls;23;15;;1.52;20.82;2.57;10
31-Jan-20;Brumbies;Reds;27;24;;1.38;23.08;3.07;10
31-Jan-20;Blues;Chiefs;29;37;;2.29;22.19;1.64;10
28-Jun-19;Jaguares;Brumbies;39;7;Y;1.2;26.71;4.66;10
28-Jun-19;Crusaders;Hurricanes;30;26;Y;1.46;21.93;2.8;10
21-Jun-19;Crusaders;Highlanders;38;14;Y;1.14;30.28;5.53;10
21-Jun-19;Jaguares;Chiefs;21;16;Y;1.18;28.13;4.81;10
21-Jun-19;Hurricanes;Bulls;35;28;Y;1.67;22.2;2.23;10
21-Jun-19;Brumbies;Sharks;38;13;Y;1.39;22.63;3.03;10
14-Jun-19;Highlanders;Waratahs;49;12;;1.1;35.62;6.87;10
14-Jun-19;Rebels;Chiefs;8;59;;2.06;21.81;1.78;10
14-Jun-19;Jaguares;Sunwolves;52;10;;1.05;44.04;9.21;10
14-Jun-19;Hurricanes;Blues;29;24;;2;20.67;1.83;10
14-Jun-19;Brumbies;Reds;40;27;;1.29;23.7;3.62;10
14-Jun-19;Stormers;Sharks;9;12;;1.72;20.75;2.16;10
14-Jun-19;Bulls;Lions;48;27;;1.51;22.14;2.59;10
07-Jun-19;Highlanders;Bulls;24;24;;1.26;25.59;3.89;10
07-Jun-19;Reds;Blues;29;28;;2.09;21.96;1.75;10
07-Jun-19;Crusaders;Rebels;66;0;;1.07;36.49;7.9;10
07-Jun-19;Waratahs;Brumbies;24;35;;1.8;21.21;2.04;10
07-Jun-19;Lions;Hurricanes;17;37;;2.29;22.44;1.64;10
07-Jun-19;Stormers;Sunwolves;31;18;;1.04;46.41;11.14;10
07-Jun-19;Jaguares;Sharks;34;7;;1.4;23.02;3.02;10
31-May-19;Blues;Bulls;22;22;;1.29;24.01;3.68;10
31-May-19;Rebels;Waratahs;15;20;;1.39;22.93;3.05;10
31-May-19;Sunwolves;Brumbies;19;42;;5.21;28.12;1.16;10
31-May-19;Chiefs;Crusaders;40;27;;4.92;29.16;1.18;10
31-May-19;Reds;Jaguares;23;34;;2.39;20.98;1.61;10
31-May-19;Sharks;Hurricanes;17;30;;2.23;20.67;1.69;10
31-May-19;Lions;Stormers;41;22;;1.57;21.16;2.49;10
24-May-19;Chiefs;Reds;19;13;;1.22;27.05;4.28;10
24-May-19;Brumbies;Bulls;22;10;;1.4;22.65;2.98;10
24-May-19;Sunwolves;Rebels;7;52;;2.94;23.72;1.41;10
24-May-19;Crusaders;Blues;19;11;;1.16;27.85;5.28;10
24-May-19;Waratahs;Jaguares;15;23;;1.63;22.3;2.32;10
24-May-19;Stormers;Highlanders;34;22;;1.7;21.13;2.19;10
24-May-19;Sharks;Lions;27;17;;1.49;22.05;2.67;10
17-May-19;Hurricanes;Jaguares;20;28;;1.21;28.27;4.4;10
17-May-19;Rebels;Bulls;17;32;;1.39;23.23;3.03;10
17-May-19;Blues;Chiefs;23;8;;1.47;21.64;2.73;10
17-May-19;Reds;Waratahs;32;40;;1.96;19.99;1.87;10
17-May-19;Lions;Highlanders;38;29;;1.87;20.02;1.97;10
17-May-19;Stormers;Crusaders;19;19;;4.62;27.98;1.19;10
10-May-19;Blues;Hurricanes;12;22;;2.87;22.18;1.43;10
10-May-19;Rebels;Reds;30;24;;1.26;23.76;3.91;10
10-May-19;Bulls;Crusaders;13;45;;3.81;24.48;1.27;10
10-May-19;Highlanders;Jaguares;32;27;;1.16;30.18;5.25;10
10-May-19;Chiefs;Sharks;29;23;;1.56;21.62;2.46;10
10-May-19;Lions;Waratahs;29;28;;1.35;22.92;3.22;10
10-May-19;Brumbies;Sunwolves;33;0;;1.15;30.38;5.28;10
03-May-19;Crusaders;Sharks;21;21;;1.05;40.4;9.2;10
03-May-19;Reds;Sunwolves;32;26;;1.3;24.04;3.59;10
04-May-19;Hurricanes;Rebels;29;19;;1.22;27.73;4.29;10
04-May-19;Highlanders;Chiefs;31;31;;1.23;26.59;4.17;10
04-May-19;Brumbies;Blues;26;21;;2.03;20.48;1.82;10
04-May-19;Bulls;Waratahs;28;21;;1.35;23.15;3.27;10
04-May-19;Jaguares;Stormers;30;25;;1.55;20.16;2.52;10
26-Apr-19;Crusaders;Lions;36;10;;1.07;39.98;8.09;10
26-Apr-19;Sunwolves;Highlanders;0;52;;3.63;25.54;1.29;10
27-Apr-19;Hurricanes;Chiefs;47;19;;1.22;26.53;4.27;10
27-Apr-19;Waratahs;Sharks;15;23;;1.4;23.24;3;10
27-Apr-19;Stormers;Bulls;24;23;;1.72;20.27;2.15;10
27-Apr-19;Jaguares;Brumbies;20;15;;1.53;22.3;2.54;10
19-Apr-19;Chiefs;Lions;17;23;;1.45;23.84;2.81;10
19-Apr-19;Sunwolves;Hurricanes;23;29;;5.51;31.98;1.14;10
19-Apr-19;Sharks;Reds;14;21;;1.2;28.26;4.63;10
20-Apr-19;Highlanders;Blues;24;12;;1.69;24.61;2.18;10
20-Apr-19;Waratahs;Rebels;23;20;;1.95;23.37;1.88;10
20-Apr-19;Stormers;Brumbies;17;19;;1.36;23.4;3.23;10
12-Apr-19;Crusaders;Highlanders;43;17;;1.14;29.5;5.64;10
12-Apr-19;Rebels;Stormers;24;41;;1.24;26.45;4.11;10
13-Apr-19;Chiefs;Blues;33;29;;1.49;22.7;2.67;10
13-Apr-19;Brumbies;Lions;31;20;;1.59;22.39;2.38;10
13-Apr-19;Sharks;Jaguares;17;51;;1.35;23.71;3.25;10
13-Apr-19;Bulls;Reds;32;17;;1.16;31.04;5;10
05-Apr-19;Highlanders;Hurricanes;28;31;;2.22;21.36;1.68;10
05-Apr-19;Reds;Stormers;24;12;;1.92;21.36;1.9;10
05-Apr-19;Lions;Sharks;5;42;;1.38;22.93;3.08;10
06-Apr-19;Crusaders;Brumbies;36;14;;1.03;41.75;11.32;10
06-Apr-19;Blues;Waratahs;32;29;;1.34;23.58;3.34;10
06-Apr-19;Rebels;Sunwolves;42;15;;1.16;29.75;5.14;10
06-Apr-19;Bulls;Jaguares;20;22;;1.44;22.8;2.81;10
29-Mar-19;Hurricanes;Crusaders;8;32;;2.24;20.96;1.67;10
29-Mar-19;Waratahs;Sunwolves;29;31;;1.11;33.52;6.23;10
30-Mar-19;Blues;Stormers;24;9;;1.48;22.26;2.7;10
30-Mar-19;Reds;Rebels;13;32;;2.18;21.71;1.7;10
30-Mar-19;Sharks;Bulls;16;19;;1.6;20.94;2.38;10
30-Mar-19;Jaguares;Chiefs;27;30;;2.19;21.5;1.7;10
3/22/19;Blues;Highlanders;33;26;;2.35;22.03;1.61;10
3/23/19;Hurricanes;Stormers;34;28;;1.13;33.52;5.96;10
3/23/19;Waratahs;Crusaders;20;12;;4.71;28.69;1.19;10
3/23/19;Sunwolves;Lions;24;37;;3.38;25.3;1.33;10
3/23/19;Bulls;Chiefs;20;56;;1.4;23.32;3.03;10
3/23/19;Sharks;Rebels;28;14;;1.41;23.32;2.92;10
3/24/19;Reds;Brumbies;36;14;;2.33;21.57;1.63;10
29-Mar-19;Hurricanes;Crusaders;8;32;;2.24;20.96;1.67;10
29-Mar-19;Waratahs;Sunwolves;29;31;;1.11;33.52;6.23;10
30-Mar-19;Blues;Stormers;24;9;;1.48;22.26;2.7;10
30-Mar-19;Reds;Rebels;13;32;;2.18;21.71;1.7;10
30-Mar-19;Sharks;Bulls;16;19;;1.6;20.94;2.38;10
30-Mar-19;Jaguares;Chiefs;27;30;;2.19;21.5;1.7;10
3/22/19;Blues;Highlanders;33;26;;2.35;22.03;1.61;10
3/23/19;Hurricanes;Stormers;34;28;;1.13;33.52;5.96;10
3/23/19;Waratahs;Crusaders;20;12;;4.71;28.69;1.19;10
3/23/19;Sunwolves;Lions;24;37;;3.38;25.3;1.33;10
3/23/19;Bulls;Chiefs;20;56;;1.4;23.32;3.03;10
3/23/19;Sharks;Rebels;28;14;;1.41;23.32;2.92;10
3/24/19;Reds;Brumbies;36;14;;2.33;21.57;1.63;10
15-Mar-19;Chiefs;Hurricanes;23;23;;3.26;22.29;1.36;10
15-Mar-19;Brumbies;Waratahs;19;13;;1.87;20.25;1.99;10
15-Mar-19;Stormers;Jaguares;35;8;;1.4;22.13;3.05;10
16-Mar-19;Sunwolves;Reds;31;34;;1.69;21.25;2.23;10
16-Mar-19;Lions;Rebels;36;33;;1.36;22.83;3.19;10
08-Mar-19;Hurricanes;Highlanders;25;22;;1.29;24.79;3.68;10
08-Mar-19;Rebels;Brumbies;29;26;;1.57;21.82;2.46;10
09-Mar-19;Crusaders;Chiefs;57;28;;1.15;30.29;5.49;10
09-Mar-19;Blues;Sunwolves;28;20;;1.16;30.49;5.23;10
09-Mar-19;Waratahs;Reds;28;17;;1.32;25.18;3.44;10
09-Mar-19;Lions;Jaguares;47;39;;1.28;24.44;3.77;10
09-Mar-19;Bulls;Sharks;37;14;;1.53;21.68;2.55;10
02-Mar-19;Chiefs;Sunwolves;15;30;;1.03;47.53;12.11;10
02-Mar-19;Reds;Crusaders;12;22;;5.27;31.67;1.15;10
02-Mar-19;Lions;Bulls;12;30;;1.38;23.4;3.13;10
02-Mar-19;Sharks;Stormers;11;16;;1.42;22.37;2.97;10
02-Mar-19;Jaguares;Blues;23;19;;1.74;22.03;2.13;10
01-Mar-19;Hurricanes;Brumbies;43;13;;1.2;28.34;4.6;10
01-Mar-19;Rebels;Highlanders;24;19;;1.73;23.01;2.13;10
24-Feb-19;Jaguares;Bulls;27;12;;1.96;21.21;1.86;10
24-Feb-19;Stormers;Lions;19;17;;2.51;22.51;1.55;10
24-Feb-19;Sharks;Blues;26;7;;1.84;21.62;1.99;10
23-Feb-19;Brumbies;Chiefs;54;17;;3.28;23.69;1.35;10
23-Feb-19;Crusaders;Hurricanes;38;22;;1.24;27.2;4.09;10
23-Feb-19;Sunwolves;Waratahs;30;31;;8.04;45.63;1.07;10
22-Feb-19;Highlanders;Reds;36;31;;1.06;41.96;8.02;10
17-Feb-19;Jaguares;Lions;16;25;;2.08;20.39;1.78;10
17-Feb-19;Bulls;Stormers;40;3;;1.6;20.91;2.37;10
16-Feb-19;Sunwolves;Sharks;10;45;;3.95;25.88;1.25;10
16-Feb-19;Waratahs;Hurricanes;19;20;;3;22.73;1.4;10
16-Feb-19;Blues;Crusaders;22;24;;3.22;22.48;1.36;10
15-Feb-19;Brumbies;Rebels;27;34;;1.5;22.34;2.65;10
15-Feb-19;Chiefs;Highlanders;27;30;;1.99;21.19;1.87;10
04-Aug-18;Crusaders;Lions;37;18;Y;1.1;35.98;7.2;10
28-Jul-18;Lions;Waratahs;44;26;Y;1.23;28.87;4.22;10
28-Jul-18;Crusaders;Hurricanes;30;12;Y;1.29;23.42;3.62;10
21-Jul-18;Lions;Jaguares;40;23;Y;1.25;25.32;3.95;10
21-Jul-18;Waratahs;Highlanders;30;23;Y;2.29;21.05;1.65;10
21-Jul-18;Crusaders;Sharks;40;10;Y;1.04;47.5;9.83;10
20-Jul-18;Hurricanes;Chiefs;32;31;Y;1.52;21.1;2.61;10
14-Jul-18;Sharks;Jaguares;20;10;;1.31;21.96;3.55;10
14-Jul-18;Lions;Bulls;38;12;;1.13;31.95;6;10
14-Jul-18;Waratahs;Brumbies;31;40;;1.38;22.12;3.22;10
14-Jul-18;Crusaders;Blues;54;17;;1.1;37.22;7.16;10
14-Jul-18;Highlanders;Rebels;43;37;;1.2;30.7;4.56;10
13-Jul-18;Reds;Sunwolves;48;27;;1.25;26.56;4.09;10
13-Jul-18;Chiefs;Hurricanes;28;24;;2.75;20.31;1.48;10
07-Jul-18;Stormers;Sharks;27;16;;1.82;20.22;2.01;10
07-Jul-18;Bulls;Jaguares;43;34;;1.82;20.73;2.01;10
07-Jul-18;Waratahs;Sunwolves;77;25;;1.1;34.47;6.59;10
07-Jul-18;Hurricanes;Blues;42;24;;1.15;30.55;5.19;10
07-Jul-18;Chiefs;Brumbies;24;19;;1.14;31.36;5.42;10
06-Jul-18;Reds;Rebels;37;23;;2.47;20.49;1.56;10
06-Jul-18;Crusaders;Highlanders;45;22;;1.25;23.92;3.93;10
30-Jun-18;Jaguares;Stormers;25;14;;1.36;23.5;3.26;10
30-Jun-18;Sharks;Lions;31;24;;2.24;20.65;1.74;10
30-Jun-18;Sunwolves;Bulls;42;37;;3.42;25.98;1.33;10
30-Jun-18;Brumbies;Hurricanes;24;12;;3.97;28.19;1.26;10
30-Jun-18;Highlanders;Chiefs;22;45;;1.57;22.7;2.48;10
29-Jun-18;Rebels;Waratahs;26;31;;2.28;20.81;1.68;10
29-Jun-18;Blues;Reds;39;16;;1.26;27.96;3.98;10
03-Jun-18;Brumbies;Sunwolves;41;31;;1.01;47.68;15.67;10
02-Jun-18;Reds;Waratahs;41;52;;2.93;24.16;1.42;10
02-Jun-18;Chiefs;Crusaders;20;34;;2.6;22.52;1.53;10
02-Jun-18;Blues;Rebels;10;20;;1.36;24.1;3.27;10
01-Jun-18;Highlanders;Hurricanes;30;14;;2.42;22.72;1.59;10
26-May-18;Stormers;Lions;23;26;;2.4;21.69;1.61;10
26-May-18;Bulls;Brumbies;28;38;;1.26;25.64;3.9;10
26-May-18;Reds;Highlanders;15;18;;3.67;24.95;1.29;10
26-May-18;Chiefs;Waratahs;39;27;;1.27;25.43;3.89;10
25-May-18;Jaguares;Sharks;29;13;;1.48;24.13;2.75;10
25-May-18;Rebels;Sunwolves;40;13;;1.09;38.57;7.82;10
25-May-18;Crusaders;Hurricanes;24;13;;1.82;20.97;2.03;10
19-May-18;Jaguares;Bulls;54;24;;1.42;22.55;2.97;10
19-May-18;Lions;Brumbies;42;24;;1.15;32.84;5.57;10
19-May-18;Sharks;Chiefs;28;24;;1.32;23.31;3.55;10
19-May-18;Waratahs;Highlanders;41;12;;2.79;22.16;1.47;10
19-May-18;Blues;Crusaders;24;32;;4.2;27.49;1.24;10
19-May-18;Sunwolves;Stormers;26;23;;3.9;28.53;1.26;10
18-May-18;Hurricanes;Reds;38;34;;1.02;49.57;15.91;10
12-May-18;Bulls;Sharks;39;33;;1.61;21.29;2.42;10
12-May-18;Stormers;Chiefs;9;15;;1.96;21.63;1.89;10
12-May-18;Brumbies;Rebels;24;27;;1.45;21.94;2.86;10
12-May-18;Highlanders;Lions;39;27;;1.34;24.06;3.4;10
12-May-18;Crusaders;Waratahs;31;29;;1.06;44.07;8.88;10
12-May-18;Sunwolves;Reds;63;28;;3.09;22.98;1.4;10
11-May-18;Blues;Hurricanes;15;36;;3.72;23.99;1.29;10
05-May-18;Sharks;Highlanders;38;12;;2.65;21.76;1.52;10
05-May-18;Stormers;Bulls;29;17;;1.67;21.31;2.26;10
05-May-18;Waratahs;Blues;21;24;;1.47;22.45;2.8;10
05-May-18;Hurricanes;Lions;28;19;;1.16;31.01;5.47;10
04-May-18;Rebels;Crusaders;10;55;;6.19;34.47;1.12;10
04-May-18;Chiefs;Jaguares;19;23;;1.15;32.01;5.76;10
28-Apr-18;Bulls;Highlanders;28;29;;2.47;21.54;1.58;10
28-Apr-18;Brumbies;Crusaders;8;21;;6.55;39.98;1.11;10
28-Apr-18;Blues;Jaguares;13;20;;1.37;23.17;3.23;10
28-Apr-18;Reds;Lions;27;22;;5.06;32.55;1.17;10
28-Apr-18;Stormers;Rebels;34;18;;1.19;32.13;4.69;10
27-Apr-18;Hurricanes;Sunwolves;43;15;;1;56.67;31.58;10
22-Apr-18;Brumbies;Jaguares;20;25;;1.41;22.9;2.97;10
21-Apr-18;Sharks;Stormers;24;17;;1.65;21.67;2.3;10
21-Apr-18;Bulls;Rebels;28;10;;1.18;32.03;4.84;10
21-Apr-18;Reds;Chiefs;12;36;;5.17;30.77;1.17;10
21-Apr-18;Crusaders;Sunwolves;33;11;;1.01;60.67;26.33;10
